s_no,financial_year,insurer,product_name,type_of_product,uin,date_of_approval,document_url,document_filename,local_file_path,r2_url,archive_status,scraped_at
GEN5239,2022-2023,Universal Sompo General Insurance Co. Ltd.,Contractor’s Plant & Machinery Insurance Policy- Retail,Main Product,IRDAN134RP0023V01202223,26-07-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0023V01202223.pdf/c25c2558-2699-9009-8edb-f352ea65c7f2?version=1.0&t=1675767383173&download=true,IRDAN134RP0023V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0023V01202223_Contractor’s-Plant-&-Machinery-Insurance-Policy-Retail.pdf,Non-Archived,2025-12-01T02:55:22.197809
GEN5240,2022-2023,Universal Sompo General Insurance Co. Ltd.,Employees Compensation Insurance- Retail,Main Product,IRDAN134RP0024V01202223,29-07-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0024V01202223.pdf/7f38f2a5-6d68-66b4-13f4-07c50d990443?version=1.0&t=1675767502153&download=true,IRDAN134RP0024V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0024V01202223_Employees-Compensation-Insurance-Retail.pdf,Non-Archived,2025-12-01T02:55:22.197926
GEN5241,2022-2023,Universal Sompo General Insurance Co. Ltd.,Fidelity Guarantee Insurance Policy,Main Product,IRDAN134RP0025V01202223,29-07-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0025V01202223.pdf/c51b04ff-419d-811b-4a0c-21e825fc44ef?version=1.0&t=1675767614140&download=true,IRDAN134RP0025V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0025V01202223_Fidelity-Guarantee-Insurance-Policy.pdf,Non-Archived,2025-12-01T02:55:22.198041
GEN5242,2022-2023,Universal Sompo General Insurance Co. Ltd.,Money Insurance Policy,Main Product,IRDAN134RP0026V01202223,29-07-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0026V01202223.pdf/e383f9d7-b7ba-5206-2f96-c1d8a4706e50?version=1.0&t=1675767813536&download=true,IRDAN134RP0026V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0026V01202223_Money-Insurance-Policy.pdf,Non-Archived,2025-12-01T02:55:22.198153
GEN5244,2022-2023,Universal Sompo General Insurance Co. Ltd.,All Risks Insurance Policy-Retail,Main Product,IRDAN134RP0027V01202223,01-08-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0027V01202223.pdf/ba9273fb-d0a7-cf1a-c3d5-895c1977a8e0?version=1.0&t=1675768168489&download=true,IRDAN134RP0027V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0027V01202223_All-Risks-Insurance-Policy-Retail.pdf,Non-Archived,2025-12-01T02:55:22.198266
GEN5269,2022-2023,Universal Sompo General Insurance Co. Ltd.,Electronic Equipment Insurance Policy,Main Product,IRDAN134RP0028V01202223,07-09-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0028V01202223.pdf/5a799801-7a38-f5ea-60fc-3a20115fb6f6?version=1.0&t=1675768346332&download=true,IRDAN134RP0028V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0028V01202223_Electronic-Equipment-Insurance-Policy.pdf,Non-Archived,2025-12-01T02:55:22.198399
GEN5268,2022-2023,Universal Sompo General Insurance Co. Ltd.,Burglary Policy,Main Product,IRDAN134RP0029V01202223,07-09-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0029V01202223.pdf/4bcb866d-1f34-9381-7847-12a51ee0bca9?version=1.0&t=1675769647548&download=true,IRDAN134RP0029V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0029V01202223_Burglary-Policy.pdf,Non-Archived,2025-12-01T02:55:22.198514
GEN5267,2022-2023,Universal Sompo General Insurance Co. Ltd.,Boiler And Pressure Plant Insurance Policy (Retail),Main Product,IRDAN134RP0030V01202223,07-09-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0030V01202223.pdf/1a112cd7-45e5-e291-64ad-76cc0cf776d1?version=1.0&t=1675769776857&download=true,IRDAN134RP0030V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0030V01202223_Boiler-And-Pressure-Plant-Insurance-Policy-(Retail).pdf,Non-Archived,2025-12-01T02:55:22.198626
GEN5270,2022-2023,Universal Sompo General Insurance Co. Ltd.,Consequential Loss - Fire Insurance Policy- Retail,Main Product,IRDAN134RP0031V01202223,14-09-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0031V01202223.pdf/774d1b3d-050e-8272-6b35-a61d5dd01af8?version=1.0&t=1675769908646&download=true,IRDAN134RP0031V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0031V01202223_Consequential-Loss-Fire-Insurance-Policy-Retail.pdf,Non-Archived,2025-12-01T02:55:22.198740
GEN5275,2022-2023,Universal Sompo General Insurance Co. Ltd.,Marine Cargo Insurance,Main Product,IRDAN134RP0032V01202223,22-09-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0032V01202223.pdf/ea453f74-e240-746c-625f-58f060a05e59?version=1.0&t=1675770028671&download=true,IRDAN134RP0032V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0032V01202223_Marine-Cargo-Insurance.pdf,Non-Archived,2025-12-01T02:55:22.198852
GEN5276,2022-2023,Universal Sompo General Insurance Co. Ltd.,Banker’s Indemnity- Sookshma Udyam,Main Product,IRDAN134RP0033V01202223,22-09-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0033V01202223.pdf/894709fc-d7f5-5433-c122-6a1a0c4e6218?version=1.0&t=1675770314662&download=true,IRDAN134RP0033V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0033V01202223_Banker’s-Indemnity-Sookshma-Udyam.pdf,Non-Archived,2025-12-01T02:55:22.198965
GEN5034,2022-2023,Universal Sompo General Insurance Co. Ltd.,1. Obsolete Parts,Add-on,IRDAN134RP0034V01202021/A0001V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202021A0001V01202223.pdf/83b5c2c1-2a43-5651-132e-abbf1391e762?version=1.0&t=1675770952667&download=true,IRDAN134RP0034V01202021A0001V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0034V01202021-A0001V01202223_1.-Obsolete-Parts.pdf,Non-Archived,2025-12-01T02:55:22.199079
GEN5018,2022-2023,Universal Sompo General Insurance Co. Ltd.,2. Accidental Damage Cover,Add-on,IRDAN134RP0034V01202021/A0002V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202021A0002V01202223.pdf/1328582f-9e88-b9a7-de8a-33df06cba496?version=1.0&t=1675830055269&download=true,IRDAN134RP0034V01202021A0002V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0034V01202021-A0002V01202223_2.-Accidental-Damage-Cover.pdf,Non-Archived,2025-12-01T02:55:22.199194
GEN5019,2022-2023,Universal Sompo General Insurance Co. Ltd.,of Rent and Additional Expenses of Rent for an Alternate Premises,Add-on,IRDAN134RP0034V01202021/A0003V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202021A0003V01202223.pdf/26e507f7-d572-964c-1518-243f7bbf33d4?version=1.0&t=1675830451418&download=true,IRDAN134RP0034V01202021A0003V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0034V01202021-A0003V01202223_of-Rent-and-Additional-Expenses-of-Rent-for-an-Alternate-Premises.pdf,Non-Archived,2025-12-01T02:55:22.199327
GEN5020,2022-2023,Universal Sompo General Insurance Co. Ltd.,4. Escalation Clause,Add-on,IRDAN134RP0034V01202021/A0004V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202021A0004V01202223.pdf/a1263e68-64a8-6268-c9c5-7b7b837a88d2?version=1.0&t=1677136212706&download=true,IRDAN134RP0034V01202021A0004V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0034V01202021-A0004V01202223_4.-Escalation-Clause.pdf,Non-Archived,2025-12-01T02:55:22.199449
GEN5021,2022-2023,Universal Sompo General Insurance Co. Ltd.,5. Involuntary Betterment,Add-on,IRDAN134RP0034V01202021/A0005V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202021A0005V01202223.pdf/37da698a-19fe-4860-e7c0-ae4773f58a59?version=1.0&t=1677136211732&download=true,IRDAN134RP0034V01202021A0005V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0034V01202021-A0005V01202223_5.-Involuntary-Betterment.pdf,Non-Archived,2025-12-01T02:55:22.199564
GEN5023,2022-2023,Universal Sompo General Insurance Co. Ltd.,8. Protection and Preservation of Property,Add-on,IRDAN134RP0034V01202021/A0007V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202021A0007V01202223.pdf/c3064ebc-674c-35ef-2a6a-a6871f18c4e0?version=1.0&t=1677136210893&download=true,IRDAN134RP0034V01202021A0007V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0034V01202021-A0007V01202223_8.-Protection-and-Preservation-of-Property.pdf,Non-Archived,2025-12-01T02:55:22.199679
GEN5024,2022-2023,Universal Sompo General Insurance Co. Ltd.,9. Cost of Clearing Drains Clause,Add-on,IRDAN134RP0034V01202021/A0008V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202021A0008V01202223.pdf/cfe1819b-edda-da4b-c0be-47e61354189a?version=1.0&t=1677136210012&download=true,IRDAN134RP0034V01202021A0008V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0034V01202021-A0008V01202223_9.-Cost-of-Clearing-Drains-Clause.pdf,Non-Archived,2025-12-01T02:55:22.199793
GEN5025,2022-2023,Universal Sompo General Insurance Co. Ltd.,10. Extra Expense,Add-on,IRDAN134RP0034V01202021/A0009V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202021A0009V01202223.pdf/f600a2e0-03ea-ff4a-acf0-bbba033a130f?version=1.0&t=1677136209170&download=true,IRDAN134RP0034V01202021A0009V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0034V01202021-A0009V01202223_10.-Extra-Expense.pdf,Non-Archived,2025-12-01T02:55:22.199905
GEN5277,2022-2023,Universal Sompo General Insurance Co. Ltd.,Business Shield – Sookshma Udyam,Main Product,IRDAN134RP0034V01202223,22-09-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202223.pdf/262b38e9-6557-fa70-bc9d-dfa80fb75021?version=1.0&t=1677136207963&download=true,IRDAN134RP0034V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0034V01202223_Business-Shield-–-Sookshma-Udyam.pdf,Non-Archived,2025-12-01T02:55:22.200021
GEN5035,2022-2023,Universal Sompo General Insurance Co. Ltd.,1. Obsolete Parts,Add-on,IRDAN134RP0035V01202021/A0010V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0010V01202223.pdf/082c67a7-c97a-43ba-a034-e30290b4a46f?version=1.0&t=1677136207061&download=true,IRDAN134RP0035V01202021A0010V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0035V01202021-A0010V01202223_1.-Obsolete-Parts.pdf,Non-Archived,2025-12-01T02:55:22.200134
GEN5026,2022-2023,Universal Sompo General Insurance Co. Ltd.,2. Accidental Damage Cover,Add-on,IRDAN134RP0035V01202021/A0011V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0011V01202223.pdf/83f70421-3aa4-bdb3-ab6c-3fcabc4a455e?version=1.0&t=1677136206194&download=true,IRDAN134RP0035V01202021A0011V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0035V01202021-A0011V01202223_2.-Accidental-Damage-Cover.pdf,Non-Archived,2025-12-01T02:55:22.200254
GEN5027,2022-2023,Universal Sompo General Insurance Co. Ltd.,of Rent and Additional Expenses of Rent for an Alternate Premises,Add-on,IRDAN134RP0035V01202021/A0012V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0012V01202223.pdf/8244884b-dbad-9949-3806-c8b3ad77b465?version=1.0&t=1677136205308&download=true,IRDAN134RP0035V01202021A0012V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0035V01202021-A0012V01202223_of-Rent-and-Additional-Expenses-of-Rent-for-an-Alternate-Premises.pdf,Non-Archived,2025-12-01T02:55:22.200388
GEN5028,2022-2023,Universal Sompo General Insurance Co. Ltd.,4. Escalation Clause,Add-on,IRDAN134RP0035V01202021/A0013V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0013V01202223.pdf/31dc60ab-a0fa-987a-08c4-1723cf375188?version=1.0&t=1677136204246&download=true,IRDAN134RP0035V01202021A0013V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0035V01202021-A0013V01202223_4.-Escalation-Clause.pdf,Non-Archived,2025-12-01T02:55:22.200503
GEN5029,2022-2023,Universal Sompo General Insurance Co. Ltd.,5. Involuntary Betterment,Add-on,IRDAN134RP0035V01202021/A0014V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0014V01202223.pdf/76bf3242-a99c-9ead-2a50-8fb1b40b374b?version=1.0&t=1677136372357&download=true,IRDAN134RP0035V01202021A0014V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0035V01202021-A0014V01202223_5.-Involuntary-Betterment.pdf,Non-Archived,2025-12-01T02:55:22.200615
GEN5030,2022-2023,Universal Sompo General Insurance Co. Ltd.,7. Additional Removal Of Debris Including Foreign Debris,Add-on,IRDAN134RP0035V01202021/A0015V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0015V01202223.pdf/aac5558a-1a17-c525-a1ea-1ff5cb06e3af?version=1.0&t=1677136371497&download=true,IRDAN134RP0035V01202021A0015V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0035V01202021-A0015V01202223_7.-Additional-Removal-Of-Debris-Including-Foreign-Debris.pdf,Non-Archived,2025-12-01T02:55:22.200728
GEN5031,2022-2023,Universal Sompo General Insurance Co. Ltd.,8. Protection and Preservation of Property,Add-on,IRDAN134RP0035V01202021/A0016V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0016V01202223.pdf/012591e5-6e48-ef8e-7aaf-62a9d624ce51?version=1.0&t=1677136370520&download=true,IRDAN134RP0035V01202021A0016V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0035V01202021-A0016V01202223_8.-Protection-and-Preservation-of-Property.pdf,Non-Archived,2025-12-01T02:55:22.200840
GEN5032,2022-2023,Universal Sompo General Insurance Co. Ltd.,9. Cost of Clearing Drains Clause,Add-on,IRDAN134RP0035V01202021/A0017V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0017V01202223.pdf/c5abd862-3138-b9b0-4865-4eb660a45163?version=1.0&t=1676421315494&download=true,IRDAN134RP0035V01202021A0017V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0035V01202021-A0017V01202223_9.-Cost-of-Clearing-Drains-Clause.pdf,Non-Archived,2025-12-01T02:55:22.200950
GEN5033,2022-2023,Universal Sompo General Insurance Co. Ltd.,10. Extra Expense,Add-on,IRDAN134RP0035V01202021/A0018V01202223,07-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0018V01202223.pdf/df558357-ecf7-fbda-916a-ede398010bc2?version=1.0&t=1677136369544&download=true,IRDAN134RP0035V01202021A0018V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0035V01202021-A0018V01202223_10.-Extra-Expense.pdf,Non-Archived,2025-12-01T02:55:22.201061
GEN5271,2022-2023,Universal Sompo General Insurance Co. Ltd.,Errors & Omissions Insurance Policy,Main Product,IRDAN134RP0035V01202223,22-09-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202223.pdf/24ceeb46-2db2-cb5f-5346-60627fc7b094?version=1.0&t=1677136368581&download=true,IRDAN134RP0035V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0035V01202223_Errors-&-Omissions-Insurance-Policy.pdf,Non-Archived,2025-12-01T02:55:22.201173
GEN5283,2022-2023,Universal Sompo General Insurance Co. Ltd.,Jeweller’s Comprehensive - Sookshma Udyam,Main Product,IRDAN134RP0036V01202223,04-10-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0036V01202223.pdf/52d64fcc-dcc2-b507-65e8-f0ba79c4e9da?version=1.0&t=1677136366958&download=true,IRDAN134RP0036V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0036V01202223_Jeweller’s-Comprehensive-Sookshma-Udyam.pdf,Non-Archived,2025-12-01T02:55:22.201287
GEN5287,2022-2023,Universal Sompo General Insurance Co. Ltd.,House Holder’s Insurance Policy,Main Product,IRDAN134RP0041V01202223,19-10-2022,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0041V01202223.pdf/d0cc5914-c57d-9cdb-a406-3dbf2ee880e5?version=1.0&t=1677136365891&download=true,IRDAN134RP0041V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Universal-Sompo-General-Insurance-Co.-Ltd./IRDAN134RP0041V01202223_House-Holder’s-Insurance-Policy.pdf,Non-Archived,2025-12-01T02:55:22.201421
GEN5181,2022-2023,Shriram General Insurance Company Limited,Shri Electric Bike (E-Bike) Insurance,Main Product,IRDAN137RP0001V01202223,13-06-2022,https://irdai.gov.in/documents/37343/993134/IRDAN137RP0001V01202223.pdf/82730f18-d207-0704-4292-adcb14e830cc?version=1.0&t=1677136364618&download=true,IRDAN137RP0001V01202223.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Shriram-General-Insurance-Company-Limited/IRDAN137RP0001V01202223_Shri-Electric-Bike-(E-Bike)-Insurance.pdf,Non-Archived,2025-12-01T02:55:22.201544
GEN5119,2022-2023,Raheja QBE General Insurance Company Limited,Plate Glass & Neon Signs/ Glow Signs Insurance,Main Product,IRDAN141RP0028V02200910,17-05-2022,https://irdai.gov.in/documents/37343/993134/IRDAN141RP0028V02200910.pdf/27f149c8-8c8e-e202-e5e5-ad72db454d71?version=1.0&t=1677136363753&download=true,IRDAN141RP0028V02200910.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Raheja-QBE-General-Insurance-Company-Limited/IRDAN141RP0028V02200910_Plate-Glass-&-Neon-Signs-Glow-Signs-Insurance.pdf,Non-Archived,2025-12-01T02:55:22.201657
GEN5078,2022-2023,Raheja QBE General Insurance Company Limited,The Raheja QBE General Insurance Co Ltd Bharat Sookshma Udyam Suraksha,Main Product,IRDAN141RP0040V02202021,22-04-2022,https://irdai.gov.in/documents/37343/993134/IRDAN141RP0040V02202021.pdf/18125f67-915f-8b9c-eb7a-616214636d99?version=1.0&t=1677136362627&download=true,IRDAN141RP0040V02202021.pdf,,https://insurance-data.r2.dev/nonlife/2022-2023/Raheja-QBE-General-Insurance-Company-Limited/IRDAN141RP0040V02202021_The-Raheja-QBE-General-Insurance-Co-Ltd-Bharat-Sookshma-Udyam-Suraksha.pdf,Non-Archived,2025-12-01T02:55:22.201771
